機構名稱,地址,電話,急性一般病床數,急性精神病床數,慢性一般病床數,慢性精神病床數,安寧病床數,加護病床（ICU）,急性呼吸照護病床,慢性呼吸照護病床,燒傷病床,急診觀察床,其他觀察病床,手術恢復床,嬰兒床,嬰兒病床,血液透析病床,腹膜透析病床,精神科加護病床,燒傷加護病床,普通隔離病床,正壓隔離病床,負壓隔離病床,骨髓移植病床
郵政醫院（委託中英醫療社團法人經營）,臺北市中正區福州街14號,(02)23956755,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
國立台灣大學醫學院附設醫院,臺北市中正區中山南路7、8號；常德街1號,(02)23123456,1686,68,0,0,17,163,14,0,10,120,0,51,0,0,52,0,0,4,94,1,45,5
國立臺灣大學醫學院附設醫院兒童醫院,臺北市中正區中山南路8號,(02)23123456,133,0,0,0,0,65,0,0,0,0,0,17,20,48,0,0,0,0,0,0,6,3
臺北市立聯合醫院,臺北市大同區鄭州路145號,(02)25523234,1815,365,0,133,27,128,0,185,0,80,11,26,50,30,167,0,12,0,9,0,33,0
泰安醫院,臺北市中山區民權東路二段92巷2之1號,(02)25375633,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
協和婦女醫院,臺北市中山區松江路85巷5號、93巷6號,(02)25072222,20,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0,0,0
台灣基督長老教會馬偕醫療財團法人馬偕紀念醫院,臺北市中山區中山北路二段92號,(02)25433535,682,0,0,0,0,57,0,0,0,39,0,14,46,0,23,0,0,8,2,0,0,0
台灣基督長老教會馬偕醫療財團法人馬偕兒童醫院,臺北市中山區中山北路2段92號,(02)25433535,82,0,0,0,0,35,0,0,0,0,0,0,0,55,0,0,0,0,12,0,2,2
長庚醫療財團法人台北長庚紀念醫院,臺北市松山區敦化北路199號、197號、臺北市松山區敦化北路199巷6號,(02)27135211,119,0,0,0,0,14,0,0,0,23,0,3,25,10,56,0,0,0,0,0,2,0
基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段424、426號,(02)27718151,256,0,0,0,0,16,0,0,0,10,0,6,20,21,44,0,0,0,0,0,6,0
博仁綜合醫院,臺北市松山區光復北路66號、68號,(02)25786677,118,0,0,0,0,8,0,30,0,4,0,2,2,0,18,0,0,0,0,0,0,0
培靈醫院,臺北市松山區八德路四段355號,(02)27606116,0,19,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路131號,(02)27462151,187,31,0,40,0,16,0,54,0,14,0,5,10,2,20,0,0,0,0,0,2,0
中山醫療社團法人中山醫院,臺北市大安區仁愛路四段112巷11號,(02)27081166,150,0,0,0,0,6,0,0,0,6,0,3,25,5,15,0,0,0,0,0,0,0
國立臺灣大學醫學院附設癌醫中心醫院,臺北市大安區基隆路 3段155巷57號 ,(02)23220322,130,0,0,0,0,10,0,0,0,4,0,17,0,0,0,0,0,0,0,0,5,30
秀傳醫院,臺北市大安區光復南路116巷1、3、5號,(02)27717172,23,0,0,0,0,0,0,37,0,0,0,1,0,0,3,0,0,0,0,0,0,0
宏恩醫療財團法人宏恩綜合醫院,臺北市大安區仁愛路四段71巷1號,(02)27713161,109,0,0,0,0,6,0,0,0,2,0,1,0,0,15,0,0,0,0,0,0,0
中心診所醫療財團法人中心綜合醫院,臺北市大安區忠孝東路四段77號,(02)27510221,94,0,0,0,0,6,0,0,0,8,0,2,0,0,29,0,0,0,0,0,0,0
國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段266巷6號、280號,(02)27082121,565,0,0,0,0,56,8,0,0,41,0,17,25,18,55,0,0,4,0,0,2,0
同仁院醫療財團法人萬華醫院,臺北市萬華區中華路二段606巷6號,(02)23059292,0,0,79,0,0,0,0,30,0,0,0,0,0,0,28,0,0,0,0,0,0,0
財團法人台灣省私立台北仁濟院附設仁濟醫院,臺北市萬華區廣州街200、243號,(02)23021131,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
西園醫療社團法人西園醫院,臺北市萬華區西園路二段266、268、270、272、276號、185、187、189號,(02)23329888,115,0,0,0,0,8,0,0,0,9,0,3,3,0,18,1,0,0,0,0,0,0
國立臺灣大學醫學院附設醫院北護分院,臺北市萬華區康定路37號、臺北市萬華區內江街87號及89號 ,(02)23717101,31,0,0,0,0,0,0,0,0,0,0,2,0,0,60,0,0,0,0,0,0,0
臺北醫學大學附設醫院,臺北市信義區吳興街252號、250號,(02)27372181,500,25,0,0,10,59,0,0,0,25,0,18,10,12,60,0,0,0,0,0,8,0
新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路95號及士商路51號,(02)28332211,518,25,0,0,8,62,8,0,0,40,0,16,25,21,105,0,0,3,0,0,2,0
三軍總醫院北投分院附設民眾診療服務處,臺北市北投區新民路60號 中和街250號,(02)28959808,0,335,0,217,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
臺北市北投健康管理醫院,臺北市北投區中和街2號,(02)28988686,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
醫療財團法人辜公亮基金會和信治癌中心醫院,臺北市北投區立德路125號,(02)28970011,239,0,0,0,10,16,0,0,0,6,0,8,0,0,1,0,0,0,0,2,2,6
振興醫療財團法人振興醫院,臺北市北投區振興街45號,(02)28264400,777,54,0,0,8,72,12,0,0,17,0,5,15,12,46,0,0,6,0,1,3,0
臺北市立關渡醫院─委託臺北榮民總醫院經營,臺北市北投區知行路二二五巷12號,(02)28587000,45,0,67,0,10,3,0,32,0,3,0,0,0,0,19,0,0,0,0,0,0,0
臺北榮民總醫院,臺北市北投區石牌路二段201號、322號,(02)28712121,2094,98,0,0,16,205,16,0,14,57,0,43,16,24,90,0,0,6,82,30,13,4
中國醫藥大學附設醫院臺北分院,臺北市內湖區內湖路二段360號、362號,(02)27919696,99,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0
康寧醫療財團法人康寧醫院,臺北市內湖區成功路五段420巷26號,(02)26345500,157,0,0,0,0,7,0,32,0,2,0,2,10,2,40,0,0,0,0,0,0,0
三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段325號；臺北市中正區汀州路3段40號,(02)87923311,1250,118,0,0,15,137,24,120,8,45,2,36,36,44,53,0,0,3,0,1,18,2
臺北市立萬芳醫院－委託財團法人臺北醫學大學辦理,臺北市文山區興隆路三段111號,(02)29307930,500,38,0,0,10,47,10,0,4,26,6,11,15,10,61,0,0,0,0,0,12,0
景美醫院,臺北市文山區羅斯福路六段280號、文山區育英街2巷18號、文山區羅斯福路六段276巷1號1樓,(02)29331010,54,0,0,0,0,0,0,60,0,3,0,1,0,0,0,0,0,0,0,0,0,0
